"color" "width" "satell" "weight"
"61" "3" 27.1 0 2.55
"62" "3" 24.5 5 2.05
"63" "3" 27 3 2.45
"64" "2" 26 5 2.15
"65" "2" 28 1 2.8
"66" "2" 30 8 3.05
"67" "2" 29 10 3.2
"68" "2" 26.2 0 2.4
"69" "2" 26.5 0 1.3
"70" "2" 26.2 3 2.4
"71" "3" 25.6 7 2.8
"72" "3" 23 1 1.65
"73" "3" 23 0 1.8
"74" "2" 25.4 6 2.25
"75" "3" 24.2 0 1.9
"76" "2" 22.9 0 1.6
"77" "3" 26 3 2.2
"78" "2" 25.4 4 2.25
"79" "3" 25.7 0 1.2
"80" "2" 25.1 5 2.1
"81" "3" 24.5 0 2.25
"82" "4" 27.5 0 2.9
"83" "3" 23.1 0 1.65
"84" "3" 25.9 4 2.55
"85" "2" 25.8 0 2.3
"86" "4" 27 3 2.25
"87" "2" 28.5 0 3.05
"88" "4" 25.5 0 2.75
"89" "4" 23.5 0 1.9
"90" "2" 24 0 1.7
"91" "2" 29.7 5 3.85
"92" "2" 26.8 0 2.55
"93" "4" 26.7 0 2.45
"94" "2" 28.7 0 3.2
"95" "3" 23.1 0 1.55
"96" "2" 29 1 2.8
"97" "3" 25.5 0 2.25
"98" "3" 26.5 1 1.967
"99" "3" 24.5 1 2.2
"100" "3" 28.5 1 3
"101" "2" 28.2 1 2.867
"102" "2" 24.5 1 1.6
"103" "2" 27.5 1 2.55
"104" "2" 24.7 4 2.55
"105" "2" 25.2 1 2
"106" "3" 27.3 1 2.9
"107" "2" 26.3 1 2.4
"108" "2" 29 1 3.1
"109" "2" 25.3 2 1.9
"110" "2" 26.5 4 2.3
"111" "2" 27.8 3 3.25
"112" "2" 27 6 2.5
"113" "3" 25.7 0 2.1
"114" "2" 25 2 2.1
"115" "2" 31.9 2 3.325
"116" "4" 23.7 0 1.8
"117" "4" 29.3 12 3.225
"118" "3" 22 0 1.4
"119" "2" 25 5 2.4
"120" "3" 27 6 2.5
"121" "3" 23.8 6 1.8
"122" "1" 30.2 2 3.275
"123" "3" 26.2 0 2.225
"124" "2" 24.2 2 1.65
"125" "2" 27.4 3 2.9
"126" "2" 25.4 0 2.3
"127" "3" 28.4 3 3.2
"128" "4" 22.5 4 1.475
"129" "2" 26.2 2 2.025
"130" "2" 24.9 6 2.3
"131" "1" 24.5 6 1.95
"132" "2" 25.1 0 1.8
"133" "2" 28 4 2.9
"134" "4" 25.8 10 2.25
"135" "2" 27.9 7 3.05
"136" "2" 24.9 0 2.2
"137" "2" 28.4 5 3.1
"138" "3" 27.2 5 2.4
"139" "2" 25 6 2.25
"140" "2" 27.5 6 2.625
"141" "2" 33.5 7 5.2
"142" "2" 30.5 3 3.325
"143" "3" 29 3 2.925
"144" "2" 24.3 0 2
"145" "2" 25.8 0 2.4
"146" "4" 25 8 2.1
"147" "2" 31.7 4 3.725
"148" "2" 29.5 4 3.025
"149" "3" 24 10 1.9
"150" "2" 30 9 3
"151" "2" 27.6 4 2.85
"152" "2" 26.2 0 2.3
"153" "2" 23.1 0 2
"154" "2" 22.9 0 1.6
"155" "4" 24.5 0 1.9
"156" "2" 24.7 4 1.95
"157" "2" 28.3 0 3.2
"158" "2" 23.9 2 1.85
"159" "3" 23.8 0 1.8
"160" "3" 29.8 4 3.5
"161" "2" 26.5 4 2.35
"162" "2" 26 3 2.275
"163" "2" 28.2 8 3.05
"164" "4" 25.7 0 2.15
"165" "2" 26.5 7 2.75
"166" "2" 25.8 0 2.2
"167" "3" 24.1 0 1.8
"168" "3" 26.2 2 2.175
"169" "3" 26.1 3 2.75
"170" "3" 29 4 3.275
"171" "1" 28 0 2.625
"172" "4" 27 0 2.625
"173" "2" 24.5 0 2
