"date" "maxO3" "T9" "T12" "T15" "Ne9" "Ne12" "Ne15" "Vx9" "Vx12" "Vx15" "vent" "pluie"
"110" 20010918 42 12.7 14.3 14.9 8 7 7 -2.5 -3.2139 -2.5 "Nord" "Pluie"
"111" 20010919 65 14.8 16.3 15.9 7 7 7 -4.3301 -6.0622 -5.1962 "Ouest" "Pluie"
"112" 20010920 71 15.5 18 17.4 7 7 6 -3.9392 -3.0642 0 "Ouest" "Sec"
"113" 20010921 96 11.3 19.4 20.2 3 3 3 -0.1736 3.7588 3.8302 "Est" "Pluie"
"114" 20010922 98 15.2 19.7 20.3 2 2 2 4 5 4.3301 "Est" "Sec"
"115" 20010923 92 14.7 17.6 18.2 1 4 6 5.1962 5.1423 3.5 "Nord" "Sec"
"116" 20010924 76 13.3 17.7 17.7 7 7 6 -0.9397 -0.766 -0.5 "Ouest" "Pluie"
"117" 20010925 84 13.3 17.7 17.8 3 5 6 0 -1 -1.2856 "Sud" "Sec"
"118" 20010926 NA NA NA NA NA NA NA NA NA NA NA NA
"119" 20010927 77 16.2 20.8 22.1 6 5 5 -0.6946 -2 -1.3681 "Sud" "Pluie"
"120" 20010928 99 16.9 23 22.6 6 4 7 1.5 0.8682 0.8682 "Sud" "Sec"
"121" 20010929 83 16.9 19.8 22.1 6 5 3 -4 -3.7588 -4 "Ouest" "Pluie"
"122" 20010930 70 15.7 18.6 20.7 7 7 7 0 -1.0419 -4 "Sud" "Sec"
